               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063225,            0.036625,            0.055793,             0.53866,             0.44708,              0.4542,             0.22012,            0.041917,            0.020887,            0.027749,            0.070011,           0.0033321,           0.0033321
                   1,             0.05001,            0.035237,            0.033019,             0.55993,             0.54603,             0.55189,             0.27347,            0.042825,            0.021338,            0.018412,            0.039989,           0.0066435,           0.0066435
                   2,            0.050333,            0.037523,            0.032494,             0.47005,             0.42482,             0.39933,             0.18808,             0.04601,             0.02347,             0.02288,           0.0099449,           0.0099328,           0.0099328
                   3,             0.04933,            0.038446,            0.033202,             0.52329,             0.46169,             0.46944,             0.22993,            0.042794,            0.023044,             0.01998,            0.009901,            0.009901,            0.009901
                   4,            0.047238,            0.037856,            0.030013,             0.58614,             0.51409,             0.54385,             0.27801,            0.041639,            0.022477,            0.016727,            0.009901,            0.009901,            0.009901
                   5,            0.045709,            0.037241,            0.028339,             0.59867,              0.5209,             0.55837,             0.29515,            0.039861,            0.022054,            0.015317,            0.009868,            0.009868,            0.009868
                   6,            0.045189,            0.038053,            0.027063,             0.61877,             0.54316,             0.57475,              0.3057,            0.039341,            0.022068,            0.015135,            0.009835,            0.009835,            0.009835
                   7,            0.044375,            0.037188,            0.026282,             0.61018,             0.55389,             0.58071,             0.31258,            0.038872,             0.02195,            0.014456,            0.009802,            0.009802,            0.009802
                   8,            0.044087,            0.036971,            0.025815,             0.62975,             0.57061,             0.60057,              0.3316,            0.038671,            0.021688,            0.013321,            0.009769,            0.009769,            0.009769
                   9,            0.043445,            0.036849,             0.02485,             0.63177,             0.59321,             0.62394,             0.35052,            0.037784,            0.021536,            0.012861,            0.009736,            0.009736,            0.009736
                  10,            0.043022,            0.036733,             0.02425,             0.66197,             0.59979,             0.63744,             0.35872,            0.037156,            0.021345,            0.012156,            0.009703,            0.009703,            0.009703
                  11,            0.042826,            0.036068,            0.024214,             0.63306,             0.58858,             0.61871,             0.34858,            0.037311,            0.021306,            0.012775,             0.00967,             0.00967,             0.00967
                  12,             0.04253,            0.036069,            0.023896,             0.64459,             0.59862,             0.63293,             0.35844,            0.037224,            0.021235,            0.012458,            0.009637,            0.009637,            0.009637
                  13,            0.042388,            0.036871,            0.022868,             0.66197,             0.60288,             0.64104,             0.36542,            0.036398,            0.021019,            0.012509,            0.009604,            0.009604,            0.009604
                  14,            0.042024,            0.036023,            0.023051,             0.66255,             0.61498,             0.65592,              0.3773,            0.036593,            0.020941,            0.011945,            0.009571,            0.009571,            0.009571
                  15,            0.041819,            0.036158,            0.022376,             0.67309,             0.60379,             0.64836,             0.37297,            0.036268,            0.021028,            0.011615,            0.009538,            0.009538,            0.009538
                  16,            0.041793,            0.035901,            0.022481,             0.67518,             0.62983,             0.67275,             0.39201,            0.036026,            0.020818,            0.011105,            0.009505,            0.009505,            0.009505
